ID,Event,Event Type, Start Date,End Date,Schedule,Neighborhood,Address,Notes,Tickets Link,Link
1,Art Basel: Miami Beach Convention Center,Art Show,12/5/2025,12/7/2025,11am to 6pm,Miami Beach,"Miami Beach Convention Center - 1901 Convention Center Drive, Miami Beach, FL 33139",,https://www.artbasel.com/miami-beach/buy-tickets,https://www.artbasel.com/miami-beach/buy-tickets
2,Art Miami ,Art Show,12/2/2025,12/7/2025,"Daily schedule changes, though it’s usually 11am to 6pm",Downtown ,"One Herald Plaza - NE 14th Street & Biscayne Bay), Miami, FL 33132",,https://www.artmiami.com/tickets ,https://www.artmiami.com/tickets 
3,Aqua Art,Art Show,12/3/2025,12/7/2025,"Daily schedule changes, though it’s usually 11am to 9pm",Miami Beach,"At the Aqua Hotel - 1530 Collins Avenue, Miami Beach, FL 33139",,https://www.aquaartmiami.com/,https://www.aquaartmiami.com/
4,Context Art,Art Show,12/2/2025,12/7/2025,"Daily schedule changes, though it’s usually 11am to 7pm",Downtown ,"One Herald Plaza - NE 14th Street & Biscayne Bay), Miami, FL 33132",,https://www.contextartmiami.com/,https://www.contextartmiami.com/
5,Chromesthesia Miami Art Week,Art Show,12/3/2025,,5pm to 11pm,Miami Beach,"The Gates Hotel - 2360 Collins Ave, Miami Beach, FL 33139, USA",,https://luma.com/5wev0yu4,https://luma.com/5wev0yu4
6,Chase Sappire Experience Art Show,Art Show,,,,,,Cardmembers only.,https://account.chase.com/sapphire/reserve/reservedbysapphire,https://account.chase.com/sapphire/reserve/reservedbysapphire
7,Design Miami,Art Show,12/3/2025,12/7/2025,"Daily schedule changes, though it’s usually 11am to 7pm",Miami Beach,"Convention Center Drive & 19th Street, Miami Beach",,https://designmiami.com/?utm_campaign=linkinbio&utm_medium=referral&utm_source=later-linkinbio,https://designmiami.com/fair/miami-2025
8,Eden Gallery,Art Show,12/2/2025,12/7/2025,6pm,Miami Beach,"The Setai - 2001 Collins Ave, Miami Beach, FL 33139",,https://www.edenart.com/eden-art-week-miami?utm_source=instagram&utm_medium=social&utm_campaign=miami+events&fbclid=pazxh0bgnhzw0cmteac3j0ywzhchbfawqmmju2mjgxmdqwntu4aagnuwh5q6iw9pypkdv5fbl8t_y3xzvihn-qmkq2wm77aslmzl3jpq2crmuloxy_aem_p9jssptcfryo-sbhs1e-za,https://www.instagram.com/reel/DRQoiRejOtT/?igsh=cGRidGhvN2dramIx
9,Ink Art Fair,Art Show,12/3/2025,12/7/2025,"Daily schedule changes, though it’s usually 10am to 7pm",Miami Beach,"1850 Collins Avenue, Miami Beach, FL 33139",,https://inkartfair.com/events-schedule,https://inkartfair.com/events-schedule
10,Miami Art Week ,Art Show,12/2/2025,12/7/2025,"Daily schedule changes, though it’s usually 12pm to 9pm",Wynwood,"Miami Art Week Wynwood Gallery - 2300 N Miami Ave, Miami, FL 33127, USA",,https://www.squadup.com/hosts/8433741/events,https://www.squadup.com/hosts/8433741/events
11,Miami Design District,Art Show,,,,,,,https://www.miamidesigndistrict.com/calendar/,https://www.miamidesigndistrict.com/calendar/
12,Pucci Coffee Lab Pop-Up ,Art Show,12/3/2025,12/4/2025,11am to 8pm,Design District,"Pucci - 140 NE 39th St Suite 102, Miami FL, 33137",,https://www.miamidesigndistrict.com/event/3264/pucci-coffee-lab/,https://www.miamidesigndistrict.com/event/3264/pucci-coffee-lab/
13,Slawn X Andrew Miami ,Art Show,12/5/2025,,12pm to 7pm,Design District,"Andrew - 54 NE 40th St, Miami, Fl 33137",,https://www.miamidesigndistrict.com/event/3249/slawn-x--andrew-miami/,https://www.miamidesigndistrict.com/event/3249/slawn-x--andrew-miami/
14,Miami Concours: Cars & Coffee Art Week Edition ,Art Show,12/7/2025,,9am to 11:30am,Design District,"40 NE 40th St, Miami, Fl 33137",,https://www.miamidesigndistrict.com/event/3261/miami-concours-cars--coffee-art-week-edition/,https://www.miamidesigndistrict.com/event/3261/miami-concours-cars--coffee-art-week-edition/
15,NADA Miami Art Fair,Art Show,12/2/2025,12/6/2025,"Daily schedule changes, though it’s usually 11am to 7pm",Downtown ,"NADA Miami - 1400 N Miami Ave, Miami, FL 33136",,https://www.newartdealers.org/fairs/nada-miami-2025/introduction,https://www.newartdealers.org/fairs/nada-miami-2025/introduction
16,No Vacancy Miami Beach,Art Show,11/13/2025,12/20/2025,"Daily schedule changes, though it’s usually 10am to 7pm",Miami Beach,At multiple hotel venues throughout Miami Beach,,https://www.miamiandbeaches.com/event/no-vacancy-miami-beach/21757,https://www.miamibeachfl.gov/city-hall/tourism-culture/culture-art-in-public-places/no-vacancy/
17,One Love Miami Art Week,Art Show,12/4/2025,,3pm to 9pm,Miami Beach,"The Gates Hotel - 2360 Collins Ave, Miami Beach, FL 33139, USA",,https://luma.com/miamiartweek,https://luma.com/miamiartweek
18,Red Dot,Art Show,12/3/2025,12/7/2025,"Daily schedule changes, though it’s usually 12pm to 8pm",Wynwood,"Mana Wynwood - 2217 NW 5th Avenue, Miami, FL 33127 ",,https://redwoodartgroup.com/red-dot-miami/,https://redwoodartgroup.com/red-dot-miami/
19,Pinta Miami,Art Show,12/4/2025,12/7/2025,"Daily schedule changes, though it’s usually 12pm to 8pm",Coconut Grove,"The Hangar - 3385 Pan American Drive, Coconut Grove, Fl",,https://www.pinta.art/Miami/Inicio,https://www.pinta.art/Miami/Inicio
20,Private Meet & Greet with Faena Artist: Es Devlin,Art Show,,,,Miami Beach,"3201 Collins Ave, Miami Beach, FL 33140",,https://account.chase.com/sapphire/reserve/reservedbysapphire,https://account.chase.com/sapphire/reserve/reservedbysapphire
21,Prizm,Art Show,12/3/2025,12/5/2025,"Daily schedule changes, though it’s usually 12pm to 5pm",Miami Beach,Dec 3-4 TBA / Dec 5 Soho Pool House,,https://www.prizm.art/,https://www.prizm.art/
22,Satellite Art Show,Art Show,12/4/2025,12/7/2025,"Daily schedule changes, though it’s usually 12pm to 10pm",Miami Beach,"Geneva Hotel, 1520 Collins Avenue, Miami Beach, FL 33139",,https://www.satellite-show.com/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnGXyYuBf4_OR-aCImQVEppMPsgDLZuAQOVa4TaJieb2MLypfeLaa4asiYqeo_aem_8KIBkWKQmlJTFSButPxzog,https://www.satellite-show.com/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnGXyYuBf4_OR-aCImQVEppMPsgDLZuAQOVa4TaJieb2MLypfeLaa4asiYqeo_aem_8KIBkWKQmlJTFSButPxzog
23,Scope Art Show,Art Show,12/2/2025,12/7/2025,11am to 8pm,Miami Beach,"SCOPE Art Show (tent) - 801 Ocean Dr, Miami Beach, FL 33139",,https://www.tixr.com/groups/scope-art/events/scope-art-show-160994,https://www.tixr.com/groups/scope-art/events/scope-art-show-160994
24,Untitled Art Fairs,Art Show,12/3/2025,12/7/2025,"Daily schedule changes, though it’s usually 11am to 7pm",Miami Beach,"Untitled Art Fair (tent) - Ocean Drive and 12th Street, Miami Beach, FL",,https://untitledartfairs.com/,https://untitledartfairs.com/
25,Victim 15 Fashion Show,Art Show,12/4/2025,,,,,Schedule & location revelead to ticket holders only.,https://victim15.com/pages/contact,https://victim15.com/pages/contact
26,The Brave New Earth @ Ritz-Carlton,Art Show,12/3/2025,12/7/2025,12 - 7 pm,Miami Beach,"The Ritz Carlton South Beach - 1 Lincoln Rd, Miami Beach, FL 33139",,https://posh.vip/e/the-brave-new-earth-ritzcarlton-south-beachofficial-art-basel-2025,https://posh.vip/e/the-brave-new-earth-ritzcarlton-south-beachofficial-art-basel-2025
27,Arlo Wynwood: Afternoon Art Exhibition,Art Show,12/6/2025,,1 - 6 pm,Wynwood,"2217 Northwest Miami Court, Miami, FL 33127",,https://www.eventbrite.com/e/art-access-miami-art-week-2025-arlo-wynwood-afternoon-art-exhibition-tickets-1971508090771?aff=odcleoeventsincollection,https://www.eventbrite.com/e/art-access-miami-art-week-2025-arlo-wynwood-afternoon-art-exhibition-tickets-1971508090771?aff=odcleoeventsincollection
